R,C,V_in,V_out
1272.7272727272727,6.5999999999999995e-06,5.0,0.0
1272.7272727272727,6.699999999999999e-06,5.0,0.0
1272.7272727272727,6.799999999999999e-06,5.0,0.0
1272.7272727272727,6.899999999999999e-06,5.0,0.0
1272.7272727272727,7e-06,5.0,0.0
1272.7272727272727,7.1e-06,5.0,0.0
1272.7272727272727,7.2e-06,5.0,0.0
1272.7272727272727,7.2999999999999996e-06,5.0,0.0
1272.7272727272727,7.3999999999999995e-06,5.0,0.0
1272.7272727272727,7.499999999999999e-06,5.0,0.0
1272.7272727272727,7.599999999999999e-06,5.0,0.0
1272.7272727272727,7.7e-06,5.0,0.0
1272.7272727272727,7.8e-06,5.0,0.0
1272.7272727272727,7.9e-06,5.0,0.0
1272.7272727272727,8e-06,5.0,0.0
1272.7272727272727,8.1e-06,5.0,0.0
1272.7272727272727,8.200000000000001e-06,5.0,0.0
1272.7272727272727,8.3e-06,5.0,0.0
1272.7272727272727,8.400000000000001e-06,5.0,0.0
1272.7272727272727,8.5e-06,5.0,0.0
1272.7272727272727,8.6e-06,5.0,0.0
1272.7272727272727,8.7e-06,5.0,0.0
1272.7272727272727,8.8e-06,5.0,0.0
1272.7272727272727,8.900000000000001e-06,5.0,0.0
1272.7272727272727,9e-06,5.0,0.0
1272.7272727272727,9.100000000000001e-06,5.0,0.0
1272.7272727272727,9.2e-06,5.0,0.0
1272.7272727272727,9.3e-06,5.0,0.0
1272.7272727272727,9.4e-06,5.0,0.0
1272.7272727272727,9.5e-06,5.0,0.0
1272.7272727272727,9.6e-06,5.0,0.0
1272.7272727272727,9.7e-06,5.0,0.0
1272.7272727272727,9.800000000000001e-06,5.0,0.0
1272.7272727272727,9.9e-06,5.0,0.0
1272.7272727272727,1e-05,5.0,0.0
1363.6363636363635,1e-07,5.0,0.0
1363.6363636363635,2e-07,5.0,0.0
1363.6363636363635,3e-07,5.0,0.0
1363.6363636363635,4e-07,5.0,0.0
1363.6363636363635,5e-07,5.0,0.0
1363.6363636363635,6e-07,5.0,0.0
1363.6363636363635,7e-07,5.0,0.0
1363.6363636363635,8e-07,5.0,0.0
1363.6363636363635,9e-07,5.0,0.0
1363.6363636363635,1e-06,5.0,0.0
1363.6363636363635,1.1e-06,5.0,0.0
1363.6363636363635,1.2e-06,5.0,0.0
1363.6363636363635,1.2999999999999998e-06,5.0,0.0
1363.6363636363635,1.3999999999999997e-06,5.0,0.0
1363.6363636363635,1.5e-06,5.0,0.0
1363.6363636363635,1.6e-06,5.0,0.0
1363.6363636363635,1.6999999999999998e-06,5.0,0.0
1363.6363636363635,1.7999999999999997e-06,5.0,0.0
1363.6363636363635,1.9e-06,5.0,0.0
1363.6363636363635,2e-06,5.0,0.0
1363.6363636363635,2.1e-06,5.0,0.0
1363.6363636363635,2.1999999999999997e-06,5.0,0.0
1363.6363636363635,2.3e-06,5.0,0.0
1363.6363636363635,2.4e-06,5.0,0.0
1363.6363636363635,2.4999999999999998e-06,5.0,0.0
1363.6363636363635,2.5999999999999997e-06,5.0,0.0
1363.6363636363635,2.6999999999999996e-06,5.0,0.0
